_group,_seasonYear,_season,球员ID,球员姓名,球队ID,赛事ID,赛季ID,stageType,gameMode,opponentId,对手,胜负,球员英文名,球衣号,位置,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,回合占有率百分位排名,回合占有率,真实命中率百分位排名,真实命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,护框尝试频率,护框成功频率,护框失败频率,护框时对手命中率
2023-24,2023,2023-24,31999,贾晋文,1003320449,20005,200267,,2,1003320653,山西财经大学,1,Jia Jinwen,4,C,1752,29.2,200050010654,0,2024-06-09,1,0,60.41,3.06,1.71,0.059453,64.1,0.5,17.95,0.058824,100,0,0,0,0,0,0,0,0.25,98.29,0,0,0,
2022-23,2022,2022-23,31999,贾晋文,1003320449,20005,200069,,2,1003320780,上海交通大学,1,Jia Jinwen,4,C,300,5,200050010395,0,2023-05-31,1,0,,-0.07,,0,,0,,0,,0,0,,0,,0,,0.5,,2,0,2,1
2022-23,2022,2022-23,31999,贾晋文,1003320449,20005,200069,,2,1003320435,中国矿业大学,1,Jia Jinwen,4,C,243,4.1,200050010398,0,2023-06-11,1,0,,1.9,,0.076389,,0.568182,,0,,0,0.097201,,0,,0,,0.2,,0,0,0,
2024-25,2024,2024-25,92972,蔡雨昕,1003320449,20005,200406,,2,2010421729,北京体育大学,1,Cai Yuxin,5,SG,930,15.5,200050010675,0,2024-10-19,1,0,52.78,2.36,6.47,0.128999,100,0.75,15.11,0.142857,56.83,0.2,0,0,0,0,0,0,0.136364,87.77,0,0,0,
2024-25,2024,2024-25,92972,蔡雨昕,1003320449,20005,200406,,2,1003320454,中国人民大学,1,Cai Yuxin,5,SG,778,13,200050010677,0,2024-10-20,1,0,34.74,0.58,24.46,0.172018,76.26,0.5,71.94,0.285714,13.67,0.333333,0.034495,64.75,0,0,0,0,0.166667,94.96,0,0,0,
2024-25,2024,2024-25,92972,蔡雨昕,1003320449,20005,200406,,2,2010421733,北京工业大学,1,Cai Yuxin,5,SG,1178,19.6,200050010688,0,2024-10-27,1,0,27.88,-0.12,4.32,0.119732,2.16,0.2,33.81,0.190476,100,0,0,0,0,0,0,0,0.095238,54.68,0,0,0,
2024-25,2024,2024-25,92972,蔡雨昕,1003320449,20005,200406,,2,2010422340,哈尔滨体育学院,1,Cai Yuxin,5,SG,1772,29.5,200050010783,0,2025-03-11,1,0,89.33,8.61,66.19,0.228938,100,0.954545,0.72,0.045455,27.34,0.266667,0.017213,26.62,0,0,0.052632,64.75,0.043478,7.19,0,0,0,
2024-25,2024,2024-25,92972,蔡雨昕,1003320449,20005,200406,,2,1003320821,中国民航大学,1,Cai Yuxin,5,SG,1434,23.9,200050010789,0,2025-03-13,1,0,30.03,0.1,60.43,0.220548,10.79,0.303644,7.91,0.117647,38.13,0.232919,0.072566,99.28,0,0,0,0,0.041667,7.19,0,0,0,
2024-25,2024,2024-25,92972,蔡雨昕,1003320449,20005,200406,,2,1003320658,华北电力大学,1,Cai Yuxin,5,SG,1435,23.9,200050010796,0,2025-03-14,1,0,87.45,8.09,87.05,0.286944,100,0.666667,15.11,0.142857,98.56,0.0625,0,0,0,0,0.055556,66.19,0.074074,31.65,1,1,0,0
2024-25,2024,2024-25,92972,蔡雨昕,1003320449,20005,200406,,2,1003320661,天津财经大学,1,Cai Yuxin,5,SG,648,10.8,200050010808,0,2025-03-16,1,0,17.15,-1.34,58.99,0.219619,9.35,0.3,0,0,67.63,0.166667,0,0,0,0,0,0,0.083333,43.88,1,1,0,0
2024-25,2024,2024-25,92972,蔡雨昕,1003320449,20005,200406,,2,1003320452,北京师范大学,2,Cai Yuxin,5,SG,87,1.5,200050010815,0,2025-03-17,1,0,,-1.29,,0.257732,,0,,0,,1,0,,0,,0,,0,,0,0,0,
