_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,护框尝试频率百分位排名,护框尝试频率,护框出手总数,护框成功频率,护框失败频率,护框时对手命中率百分位排名,护框时对手命中率
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,21,,1003320449,北京大学,PF,183,80,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,12,9392,0.189,false,95.37,0.136364,100,0.3125,100,0.097091,70.37,0.016949,12.96,0.051782,8.08,14,14,8,6,52.53,0.428571
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,,,20,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200069,2022-23,2022,5,5764,96.1,true,61.11,0.04878,100,0.241667,73.68,0.047966,94.44,0.04386,57.89,0.02878,75,11,11,8,3,100,0.272727
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,20,,1003320449,北京大学,SF,183,80,小前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3,4773,0.828,false,73.68,0.061224,100,0.262136,73.68,0.04724,89.47,0.031579,42.11,0.03543,,9,9,6,3,,0.333333
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,20,,1003320449,北京大学,SG,183,80,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,2,991,0.172,false,0,0,68.42,0.117647,84.21,0.051106,100,0.105263,100,0,,2,2,2,0,,0
CUBAL一级联赛,CUBAL一级联赛,92136,冯蔡依曼,,,19,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,13,6771,112.9,true,86.01,0.137255,53.15,0.138462,35.42,0.014256,0,0,4.86,0.066528,11.19,14,14,10,4,95.52,0.285714
CUBAL一级联赛,CUBAL一级联赛,92136,冯蔡依曼,Feng Caiyiman,12,19,,1003320449,北京大学,C,190,91,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,8,4410,0.651,false,73.61,0.111111,54.86,0.141304,34.72,0.014194,0,0,4.17,0.070969,0,10,10,7,3,91.85,0.3
CUBAL一级联赛,CUBAL一级联赛,92136,冯蔡依曼,Feng Caiyiman,12,19,,1003320449,北京大学,PF,190,91,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,5,2361,0.349,false,98.65,0.179487,55.41,0.131579,26.35,0.014382,0,0,11.49,0.057528,,4,4,3,1,,0.25
CUBAL一级联赛,CUBAL一级联赛,92136,冯蔡依曼,Feng Caiyiman,12,18,,1003320449,北京大学,总和,190,91,,20005,CUBAL一级联赛,200267,2023-24,2023,1,2462,41,true,40.74,0.055556,87.96,0.190476,0,0,0,0,63.89,0.029855,,6,6,4,2,,0.333333
CUBAL一级联赛,CUBAL一级联赛,92136,冯蔡依曼,Feng Caiyiman,12,18,,1003320449,北京大学,PF,190,91,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,1,2462,1,false,40.74,0.055556,87.96,0.190476,0,0,0,0,63.89,0.029855,,6,6,4,2,,0.333333
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,,,22,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,25,19683,328.1,true,85.03,0.107784,96.6,0.220238,83.11,0.037294,61.22,0.013072,18.92,0.05128,86.15,54,54,25,29,25.38,0.537037
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,Li Meitong,13,22,,1003320449,北京大学,PF,186,78,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,18,18145,0.922,false,77.03,0.098413,96.62,0.222581,91.22,0.040376,62.16,0.013605,13.51,0.055517,83.97,52,52,24,28,25.19,0.538462
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,Li Meitong,13,22,,1003320449,北京大学,C,186,78,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,6,1356,0.069,false,100,0.222222,95.83,0.227273,0,0,0,0,100,0,,2,2,1,1,,0.5
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,Li Meitong,13,22,,1003320449,北京大学,SF,186,78,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,182,0.009,false,100,1,0,0,0,0,0,0,100,0,,0,0,0,0,,
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,,,21,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,36,47822,797,true,44.86,0.057831,75.7,0.165289,90.74,0.03944,47.66,0.009036,30.56,0.040712,98.98,108,108,74,34,92.86,0.314815
CUBAL一级联赛,CUBAL一级联赛,32006,李美潼,Li Meitong,13,21,,1003320449,北京大学,PF,186,74,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,29210,0.611,false,40.74,0.055556,77.78,0.168224,92.59,0.040774,51.85,0.00995,49.07,0.034658,82.83,60,60,38,22,78.79,0.366667
